horizon_months,m,best_alpha,impact_cum_end,bond_capital_end,pct_positive_u,first_impact_month,avg_u_over_horizon
6,10.0,0.9,0.0,0.0,0.0,,-1000.0
6,15.0,0.9,0.0,0.0,0.0,,-500.0
6,20.0,0.9,0.0,0.0,0.0,,0.0
6,25.0,0.5,1506.2639062615772,1506.2639062615772,1.0,1.0,502.08796875385906
6,30.0,0.5,3012.5278125231544,3012.5278125231544,1.0,1.0,1004.1759375077181
6,40.0,0.5,6025.055625046309,6025.055625046309,1.0,1.0,2008.3518750154362
6,50.0,0.5,9037.583437569465,9037.583437569465,1.0,1.0,3012.527812523155
12,10.0,0.9,0.0,0.0,0.0,,-1000.0
12,15.0,0.9,0.0,0.0,0.0,,-500.0
12,20.0,0.9,0.0,0.0,0.0,,0.0
12,25.0,0.5,3027.6533522251966,3027.6533522251966,1.0,1.0,504.60889203753277
12,30.0,0.5,6055.306704450394,6055.306704450394,1.0,1.0,1009.2177840750657
12,40.0,0.5,12110.613408900788,12110.613408900788,1.0,1.0,2018.4355681501313
12,50.0,0.5,18165.92011335119,18165.92011335119,1.0,1.0,3027.653352225198
18,10.0,0.9,0.0,0.0,0.0,,-1000.0
18,15.0,0.9,0.0,0.0,0.0,,-500.0
18,20.0,0.9,0.0,0.0,0.0,,0.0
18,25.0,0.5,4564.320224920964,4564.320224920964,1.0,1.0,507.14669165788496
18,30.0,0.5,9128.640449841932,9128.640449841932,1.0,1.0,1014.2933833157703
18,40.0,0.5,18257.280899683865,18257.280899683865,1.0,1.0,2028.5867666315405
18,50.0,0.5,27385.921349525797,27385.921349525797,1.0,1.0,3042.8801499473107
24,10.0,0.9,0.0,0.0,0.0,,-1000.0
24,15.0,0.9,0.0,0.0,0.0,,-500.0
24,20.0,0.9,0.0,0.0,0.0,,0.0
24,25.0,0.5,6116.417936591997,6116.417936591997,1.0,1.0,509.7014947159998
24,30.0,0.5,12232.835873183998,12232.835873183998,1.0,1.0,1019.4029894319998
24,40.0,0.5,24465.671746367992,24465.671746367992,1.0,1.0,2038.8059788639994
24,50.0,0.5,36698.50761955199,36698.50761955199,1.0,1.0,3058.208968295999
60,10.0,0.9,0.0,0.0,0.0,,-1000.0
60,15.0,0.9,0.0,0.0,0.0,,-500.0
60,20.0,0.9,0.0,0.0,0.0,,0.0
60,25.0,0.5,15761.838979622928,15761.838979622928,1.0,1.0,525.3946326540976
60,30.0,0.5,31523.677959245862,31523.677959245862,1.0,1.0,1050.7892653081954
60,40.0,0.5,63047.355918491725,63047.355918491725,1.0,1.0,2101.5785306163907
60,50.0,0.5,94571.03387773759,94571.03387773759,1.0,1.0,3152.367795924586
120,10.0,0.9,0.0,0.0,0.0,,-1000.0
120,15.0,0.9,0.0,0.0,0.0,,-500.0
120,20.0,0.9,0.0,0.0,0.0,,0.0
120,25.0,0.5,33179.91507937625,33179.91507937625,1.0,1.0,552.9985846562709
120,30.0,0.5,66359.83015875252,66359.83015875252,1.0,1.0,1105.997169312542
120,40.0,0.5,132719.66031750504,132719.66031750504,1.0,1.0,2211.994338625084
120,50.0,0.5,199079.4904762576,199079.4904762576,1.0,1.0,3317.991507937627
