months,A0,C_base,r_annual,alpha,margin_per_person,bond_capital_end,impact_cum,months_positive_u,pct_months_positive_u,first_impact_month,avg_u,avg_u_positive
6,100,2000.0,0.04,0.9,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
6,100,2000.0,0.04,0.8,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
6,100,2000.0,0.04,0.7,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
6,100,2000.0,0.04,0.6,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
6,100,2000.0,0.04,0.5,10.0,0.0,0.0,0,0.0,,-1000.0,0.0
6,100,2000.0,0.04,0.9,15.0,0.0,0.0,0,0.0,,-500.0,0.0
6,100,2000.0,0.04,0.8,15.0,0.0,0.0,0,0.0,,-500.0,0.0
6,100,2000.0,0.04,0.7,15.0,0.0,0.0,0,0.0,,-500.0,0.0
6,100,2000.0,0.04,0.6,15.0,0.0,0.0,0,0.0,,-500.0,0.0
6,100,2000.0,0.04,0.5,15.0,0.0,0.0,0,0.0,,-500.0,0.0
6,100,2000.0,0.04,0.9,20.0,0.0,0.0,0,0.0,,0.0,0.0
6,100,2000.0,0.04,0.8,20.0,0.0,0.0,0,0.0,,0.0,0.0
6,100,2000.0,0.04,0.7,20.0,0.0,0.0,0,0.0,,0.0,0.0
6,100,2000.0,0.04,0.6,20.0,0.0,0.0,0,0.0,,0.0,0.0
6,100,2000.0,0.04,0.5,20.0,0.0,0.0,0,0.0,,0.0,0.0
6,100,2000.0,0.04,0.9,25.0,2720.3311824688094,302.2590202743121,6,1.0,1.0,503.76503379052025,503.76503379052025
6,100,2000.0,0.04,0.8,25.0,2416.057002788083,604.0142506970207,6,1.0,1.0,503.345208914184,503.345208914184
6,100,2000.0,0.04,0.7,25.0,2112.2881778678275,905.2663619433549,6,1.0,1.0,502.92575663519705,502.92575663519705
6,100,2000.0,0.04,0.6,25.0,1809.0240360288092,1206.0160240192063,6,1.0,1.0,502.5066766746693,502.5066766746693
6,100,2000.0,0.04,0.5,25.0,1506.2639062615772,1506.2639062615772,6,1.0,1.0,502.08796875385906,502.08796875385906
6,100,2000.0,0.04,0.9,30.0,5440.662364937619,604.5180405486242,6,1.0,1.0,1007.5300675810404,1007.5300675810404
6,100,2000.0,0.04,0.8,30.0,4832.114005576167,1208.0285013940413,6,1.0,1.0,1006.690417828368,1006.690417828368
6,100,2000.0,0.04,0.7,30.0,4224.576355735657,1810.5327238867098,6,1.0,1.0,1005.8515132703943,1005.8515132703943
6,100,2000.0,0.04,0.6,30.0,3618.0480720576193,2412.032048038413,6,1.0,1.0,1005.0133533493387,1005.0133533493387
6,100,2000.0,0.04,0.5,30.0,3012.5278125231544,3012.5278125231544,6,1.0,1.0,1004.1759375077181,1004.1759375077181
