horizon,A0,m0,time_to_fs3,time_to_fs6,time_to_fs12,viable_fs3,viable_fs6,viable_fs12,impact_cum_end,FS_end,BC_end,employees_end,pct_months_U_pos,avg_U,A_end,m_end,p_eff_last,phase_final,fs_cov_final
24,10.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1950.0,10.0,5.0,,1.0,0.0
24,10.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1900.0,10.0,10.0,,1.0,0.0
24,10.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1850.0,10.0,15.0,,1.0,0.0
24,10.0,20.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1800.0,10.0,20.0,,1.0,0.0
24,10.0,25.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1750.0,10.0,25.0,,1.0,0.0
24,10.0,40.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1600.0,10.0,40.0,,1.0,0.0
24,10.0,50.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,10.0,50.0,,1.0,0.0
24,10.0,75.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1250.0,10.0,75.0,,1.0,0.0
24,10.0,100.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1000.0,10.0,100.0,,1.0,0.0
24,10.0,150.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-500.0,10.0,150.0,,1.0,0.0
24,10.0,250.0,,,,0,0,0,5667.789252335043,4048.4208945250307,1217.0301498774818,2,1.0,612.9902693733716,10.566495677394805,258.92999440008793,0.11419260484952466,1.0,2.0242104472625155
24,25.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1875.0,25.0,5.0,,1.0,0.0
24,25.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1750.0,25.0,10.0,,1.0,0.0
24,25.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1625.0,25.0,15.0,,1.0,0.0
24,25.0,20.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,25.0,20.0,,1.0,0.0
24,25.0,25.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1375.0,25.0,25.0,,1.0,0.0
24,25.0,40.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1000.0,25.0,40.0,,1.0,0.0
24,25.0,50.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-750.0,25.0,50.0,,1.0,0.0
24,25.0,75.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-125.0,25.0,75.0,,1.0,0.0
24,25.0,100.0,,,,0,0,0,5287.517760950582,3776.798400678988,1102.3589282123598,2,1.0,570.4869554364856,25.528487532328896,103.3285783354978,0.11006845032071469,1.0,1.888399200339494
24,25.0,150.0,12.0,,,1,0,0,14491.568032038916,10351.120022884941,5276.6460348644405,3,1.0,1657.5158101867046,26.30288395416919,162.59422123537587,0.2173748131982852,2.0,3.450373340961647
24,25.0,250.0,5.0,18.0,,1,1,0,34121.22303713725,24372.302169383758,25406.993108070077,4,1.0,4443.666680806219,27.55502793544649,292.7404662783122,0.3443783453157218,3.0,6.0930755423459395
24,50.0,5.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1750.0,50.0,5.0,,1.0,0.0
24,50.0,10.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1500.0,50.0,10.0,,1.0,0.0
24,50.0,15.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1250.0,50.0,15.0,,1.0,0.0
24,50.0,20.0,,,,0,0,0,0.0,0.0,0.0,2,0.0,-1000.0,50.0,20.0,,1.0,0.0
